Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Split
2019-12-16,74.99,75.55,74.02,74.18,16.9886,1850900.0,0.0,1.0
2019-12-17,74.68,75.39,73.11,74.84,17.1398,1747300.0,0.0,1.0
2019-12-18,75.4,75.4,73.41,75.27,17.2382,4406500.0,0.0,1.0
2019-12-19,75.0,77.18,74.26,76.32,17.4787,4410200.0,0.0,1.0
2019-12-20,76.36,76.77,75.25,75.58,17.3092,1936400.0,0.0,1.0
2019-12-23,75.54,76.41,73.15,74.8,17.1306,2982900.0,0.0,1.0
2019-12-26,74.85,76.35,74.55,75.18,17.2176,972600.0,0.0,1.0
2019-12-27,75.5,75.83,73.77,75.8,17.3596,1494700.0,0.0,1.0
2019-12-30,75.99,76.72,75.02,76.13,17.4352,1944900.0,0.0,1.0
2020-01-02,76.15,76.99,75.56,76.3,17.4741,2061800.0,0.0,1.0
2020-01-03,75.88,76.5,75.46,76.35,17.4856,2000300.0,0.0,1.0
2020-01-06,76.35,76.9,75.3,75.45,17.86,2225400.0,0.6204,1.0
2020-01-07,74.65,75.96,73.15,75.7,17.9192,1859400.0,0.0,1.0
2020-01-08,75.4,75.5,73.96,75.2,17.8008,1211000.0,0.0,1.0
2020-01-09,75.2,75.95,74.52,75.9,17.9665,1248300.0,0.0,1.0
2020-01-10,76.0,78.2,75.14,75.89,17.9641,2659000.0,0.0,1.0
2020-01-13,76.4,77.4,76.18,76.33,18.0683,1522800.0,0.0,1.0
2020-01-14,76.33,76.48,75.01,75.01,17.7558,1279200.0,0.0,1.0
2020-01-15,75.01,75.42,73.6,74.49,17.6327,1314100.0,0.0,1.0
2020-01-16,74.81,75.4,73.3,74.94,17.7393,961900.0,0.0,1.0
2020-01-17,74.95,76.91,74.31,76.91,18.2056,1050200.0,0.0,1.0
2020-01-20,76.7,77.08,76.06,76.81,18.1819,1099800.0,0.0,1.0
2020-01-21,76.77,77.4,75.63,77.35,18.3097,1676800.0,0.0,1.0
2020-01-22,77.4,78.28,75.0,78.28,18.5299,2256200.0,0.0,1.0
2020-01-23,78.1,78.9,77.14,78.35,18.5464,1838200.0,0.0,1.0
2020-01-24,78.4,78.9,76.77,78.35,18.5464,2054000.0,0.0,1.0
2020-01-27,76.5,76.82,73.61,73.68,17.441,1712200.0,0.0,1.0
2020-01-28,73.98,76.0,73.98,75.2,17.8008,1056600.0,0.0,1.0
2020-01-29,75.3,76.04,74.2,74.91,17.7322,998900.0,0.0,1.0
2020-01-30,74.88,75.45,72.61,75.4,17.8481,1972300.0,0.0,1.0
2020-01-31,74.14,75.55,73.21,75.0,17.7535,2933400.0,0.0,1.0
2020-02-03,75.9,75.9,74.33,75.49,17.8694,1121600.0,0.0,1.0
2020-02-04,75.99,76.4,74.71,75.64,17.905,1788600.0,0.0,1.0
2020-02-05,76.38,78.9,76.13,78.9,18.6766,2611600.0,0.0,1.0
2020-02-06,78.9,78.9,76.86,78.2,18.5109,1957400.0,0.0,1.0
2020-02-07,78.2,78.9,76.55,77.43,18.3287,1440300.0,0.0,1.0
2020-02-10,77.43,77.43,73.13,73.82,17.4741,1795000.0,0.0,1.0
2020-02-11,73.82,76.76,73.54,76.37,18.0778,2860300.0,0.0,1.0
2020-02-12,76.37,79.4,76.05,79.4,18.795,2237700.0,0.0,1.0
2020-02-13,79.0,83.69,77.8,81.45,19.2803,3074800.0,0.0,1.0
2020-02-14,81.45,81.45,76.15,78.0,18.4636,3771700.0,0.0,1.0
2020-02-17,78.0,78.76,76.5,77.3,18.2979,1628000.0,0.0,1.0
2020-02-18,76.89,76.89,73.99,74.95,17.7416,2658200.0,0.0,1.0
2020-02-19,74.5,75.45,72.16,74.95,17.7416,5031700.0,0.0,1.0
2020-02-20,75.1,75.1,71.51,72.9,17.2564,3309400.0,0.0,1.0
2020-02-21,72.0,73.99,70.9,72.49,17.1593,1773400.0,0.0,1.0
2020-02-26,67.94,68.55,65.24,67.36,15.945,3420000.0,0.0,1.0
2020-02-27,66.0,68.18,64.22,65.71,15.5544,4069900.0,0.0,1.0
2020-02-28,65.0,67.56,62.21,67.56,15.9923,3910900.0,0.0,1.0
2020-03-02,66.29,69.08,64.5,68.3,16.1675,4805300.0,0.0,1.0
2020-03-03,66.57,68.38,64.1,64.2,15.197,3628800.0,0.0,1.0
2020-03-04,65.1,67.08,64.25,65.83,15.5828,2347500.0,0.0,1.0
2020-03-05,64.9,65.83,59.48,60.0,14.2028,2388200.0,0.0,1.0
2020-03-06,56.13,59.0,54.5,57.62,13.6394,6702500.0,0.0,1.0
2020-03-09,50.0,52.12,47.21,47.21,11.1752,9620400.0,0.0,1.0
2020-03-10,50.7,51.55,47.78,51.26,12.1339,5668800.0,0.0,1.0
2020-03-11,48.83,50.93,42.9,44.41,10.5124,3777900.0,0.0,1.0
2020-03-12,37.97,38.85,31.25,32.48,7.6884,9165800.0,0.0,1.0
2020-03-13,40.7,42.0,32.52,41.54,9.833,14008100.0,0.0,1.0
2020-03-16,35.0,38.07,33.51,35.12,8.3134,5025600.0,0.0,1.0
2020-03-17,36.8,36.85,33.13,35.0,8.2849,7396700.0,0.0,1.0
2020-03-18,32.5,33.14,25.8,32.0,7.5748,7724800.0,0.0,1.0
2020-03-19,30.0,34.08,27.01,32.25,7.634,7113600.0,0.0,1.0
2020-03-20,34.0,34.76,28.51,30.0,7.1014,6419500.0,0.0,1.0
2020-03-23,30.0,30.4,25.53,26.11,6.1806,7775400.0,0.0,1.0
2020-03-24,29.0,32.6,29.0,32.59,7.7145,5453000.0,0.0,1.0
2020-03-25,32.5,37.75,30.85,34.21,8.0979,6468500.0,0.0,1.0
2020-03-26,35.0,40.4,33.8,37.23,8.8128,7832000.0,0.0,1.0
2020-03-27,35.0,37.9,34.32,36.4,8.6163,4283700.0,0.0,1.0
2020-03-30,36.6,38.88,35.16,36.08,8.5406,3168200.0,0.0,1.0
2020-03-31,36.08,36.4,32.56,33.24,7.8683,3600800.0,0.0,1.0
2020-04-01,32.0,32.0,29.5,30.0,7.1014,8734600.0,0.0,1.0
2020-04-02,30.56,31.91,30.0,31.91,7.5535,4151100.0,0.0,1.0
2020-04-03,31.42,32.49,29.6,32.31,7.6482,4103700.0,0.0,1.0
2020-04-06,34.5,37.22,34.5,35.45,8.3915,4271700.0,0.0,1.0
2020-04-07,39.5,40.21,37.24,38.23,9.0495,5056400.0,0.0,1.0
2020-04-08,38.27,40.47,37.4,39.89,9.4425,3172900.0,0.0,1.0
2020-04-09,40.49,42.2,40.18,41.75,9.8828,3527600.0,0.0,1.0
2020-04-13,41.75,41.75,39.44,40.0,9.4685,3125700.0,0.0,1.0
2020-04-14,40.61,42.31,40.46,40.46,9.5774,2698900.0,0.0,1.0
2020-04-15,39.0,41.24,38.5,39.98,9.4638,7656900.0,0.0,1.0
2020-04-16,41.08,41.34,39.36,39.62,9.3786,2285900.0,0.0,1.0
2020-04-17,41.04,41.18,39.83,40.51,9.5892,2321600.0,0.0,1.0
2020-04-20,39.79,41.75,39.36,39.5,9.3502,2589800.0,0.0,1.0
2020-04-22,39.9,42.49,39.2,41.9,9.9183,3603600.0,0.0,1.0
2020-04-23,43.0,44.08,40.39,40.6,9.6105,3776700.0,0.0,1.0
2020-04-24,40.0,40.71,33.8,37.5,8.8767,7228500.0,0.0,1.0
2020-04-27,38.5,40.33,36.88,40.15,9.504,5013200.0,0.0,1.0
2020-04-28,41.29,44.5,41.21,44.5,10.5337,5030600.0,0.0,1.0
2020-04-29,45.15,45.83,43.32,43.74,10.3538,3473200.0,0.0,1.0
2020-04-30,42.3,43.0,40.64,42.3,10.013,4981800.0,0.0,1.0
2020-05-04,40.59,41.8,40.0,41.21,9.7549,2474300.0,0.0,1.0
2020-05-05,41.8,42.67,40.49,41.39,9.7975,1352800.0,0.0,1.0
2020-05-06,41.54,41.75,39.5,39.5,9.3502,2563000.0,0.0,1.0
2020-05-07,40.16,40.17,37.0,37.0,8.7584,5436600.0,0.0,1.0
2020-05-08,37.51,38.41,36.52,37.42,8.8578,4515400.0,0.0,1.0
2020-05-11,37.1,38.83,36.55,37.08,8.7773,2487600.0,0.0,1.0
2020-05-12,38.6,39.52,36.24,36.49,8.6377,3914300.0,0.0,1.0
2020-05-13,37.2,37.75,36.03,37.75,8.9359,2570500.0,0.0,1.0
2020-05-14,37.0,38.12,36.1,38.12,9.0235,3380200.0,0.0,1.0
2020-05-15,37.8,38.81,36.34,37.39,8.8507,3068300.0,0.0,1.0
2020-05-18,38.5,40.94,38.0,40.83,9.665,3426700.0,0.0,1.0
2020-05-19,40.5,42.23,39.93,41.5,9.8236,5119500.0,0.0,1.0
2020-05-20,41.8,43.27,41.16,42.97,10.1715,3971500.0,0.0,1.0
2020-05-21,43.21,47.04,42.28,47.0,11.1255,6408200.0,0.0,1.0
2020-05-22,46.15,46.9,45.21,46.07,10.9054,3593300.0,0.0,1.0
2020-05-25,48.5,50.59,47.07,50.22,11.8877,3198700.0,0.0,1.0
2020-05-26,51.01,52.05,49.21,49.21,11.6486,3919000.0,0.0,1.0
2020-05-27,50.02,50.91,49.62,50.89,12.0463,3973000.0,0.0,1.0
2020-05-28,49.99,50.5,49.13,49.59,11.7386,2947100.0,0.0,1.0
2020-05-29,49.75,49.75,47.25,48.84,11.5611,4683200.0,0.0,1.0
2020-06-01,48.84,50.44,48.19,50.14,11.8688,2755000.0,0.0,1.0
2020-06-02,50.29,55.36,50.2,55.36,13.1044,5325000.0,0.0,1.0
2020-06-03,57.39,61.87,56.8,59.5,14.0844,8998000.0,0.0,1.0
2020-06-04,58.74,61.5,57.24,60.25,14.2619,4213700.0,0.0,1.0
2020-06-05,62.25,63.64,59.58,60.24,14.2596,6930300.0,0.0,1.0
2020-06-08,60.36,67.27,60.36,66.02,15.6278,6100400.0,0.0,1.0
2020-06-09,64.49,68.5,63.28,65.58,15.5236,4185100.0,0.0,1.0
2020-06-10,66.5,67.0,62.5,63.09,14.9342,5672000.0,0.0,1.0
2020-06-12,61.77,63.5,60.7,63.01,14.9153,3780300.0,0.0,1.0
2020-06-15,61.0,62.12,59.52,60.81,14.3945,3947500.0,0.0,1.0
2020-06-16,62.85,64.92,62.32,62.9,14.8892,2792500.0,0.0,1.0
2020-06-17,63.0,66.45,63.0,64.06,15.1638,3581900.0,0.0,1.0
2020-06-18,63.95,69.9,63.04,69.9,16.5462,5145200.0,0.0,1.0
2020-06-19,70.26,72.0,68.22,72.0,17.0433,8422900.0,0.0,1.0
2020-06-22,71.5,77.87,70.52,75.99,17.9878,7700900.0,0.0,1.0
2020-06-23,78.1,81.8,77.2,78.46,18.5725,7662300.0,0.0,1.0
2020-06-24,77.99,79.99,74.62,76.7,18.1559,4329200.0,0.0,1.0
2020-06-25,77.0,79.4,75.15,76.9,18.2032,3177000.0,0.0,1.0
2020-06-26,76.21,77.78,71.9,72.67,17.2019,4783300.0,0.0,1.0
2020-06-29,75.0,76.0,73.7,76.0,17.9902,4680400.0,0.0,1.0
2020-06-30,75.4,78.4,74.29,76.5,18.1085,5878500.0,0.0,1.0
2020-07-01,78.5,79.5,75.76,76.5,18.1085,4037000.0,0.0,1.0
2020-07-02,77.85,80.42,77.24,79.0,18.7003,4206600.0,0.0,1.0
2020-07-03,78.79,80.12,78.23,79.51,18.821,2061800.0,0.0,1.0
2020-07-06,81.15,81.97,79.46,80.0,18.937,3892900.0,0.0,1.0
2020-07-07,79.68,82.19,78.5,81.62,19.3205,3028100.0,0.0,1.0
2020-07-08,81.81,85.0,81.72,85.0,20.1206,3124300.0,0.0,1.0
2020-07-09,85.04,86.08,82.8,83.2,19.6945,3331300.0,0.0,1.0
2020-07-10,83.45,85.4,82.26,85.4,20.2153,3211400.0,0.0,1.0
2020-07-13,86.0,87.1,84.52,84.52,20.007,3009100.0,0.0,1.0
2020-07-14,84.9,86.2,81.84,83.67,19.8058,4013700.0,0.0,1.0
2020-07-15,84.68,85.7,83.83,83.98,19.8791,2201200.0,0.0,1.0
2020-07-16,83.99,88.79,83.3,86.03,20.3644,5454000.0,0.0,1.0
2020-07-17,86.99,89.03,86.06,89.03,21.0745,4069200.0,0.0,1.0
2020-07-20,91.79,93.15,88.78,92.5,21.8959,4126900.0,0.0,1.0
2020-07-21,93.47,93.9,88.5,89.3,21.1385,4390700.0,0.0,1.0
2020-07-22,89.99,90.2,87.26,89.2,21.6874,3072700.0,0.5895,1.0
2020-07-23,89.0,93.15,87.0,87.4,21.2498,5290200.0,0.0,1.0
2020-07-24,87.97,87.97,83.23,86.92,21.1331,5349500.0,0.0,1.0
2020-07-27,87.98,89.81,86.25,87.71,21.3251,3659600.0,0.0,1.0
2020-07-28,87.3,88.39,84.54,84.87,20.6346,3903100.0,0.0,1.0
2020-07-29,85.0,88.07,81.72,87.9,21.3713,5488400.0,0.0,1.0
2020-07-30,86.18,87.88,84.82,86.86,21.1185,3290100.0,0.0,1.0
2020-07-31,87.98,88.5,84.6,86.42,21.0115,4721200.0,0.0,1.0
2020-08-03,88.0,90.9,86.5,89.75,21.8211,4504700.0,0.0,1.0
2020-08-04,88.99,90.22,85.92,87.2,21.2011,3733300.0,0.0,1.0
2020-08-05,87.99,89.3,86.86,88.2,21.4443,2172100.0,0.0,1.0
2020-08-06,88.63,89.64,87.34,89.64,21.7944,2907500.0,0.0,1.0
2020-08-07,89.01,89.52,86.01,87.76,21.3373,3575300.0,0.0,1.0
2020-08-10,88.21,90.74,86.64,88.88,21.6096,3408000.0,0.0,1.0
2020-08-11,90.75,91.86,86.9,87.31,21.2279,5034400.0,0.0,1.0
2020-08-12,88.0,88.91,84.85,87.35,21.2376,3977400.0,0.0,1.0
2020-08-13,87.35,87.68,84.56,85.46,20.7781,3127800.0,0.0,1.0
2020-08-14,86.0,86.26,81.86,82.6,20.0827,3965200.0,0.0,1.0
2020-08-17,82.61,82.61,77.52,79.11,19.2342,4968400.0,0.0,1.0
2020-08-18,80.81,85.71,80.15,85.71,20.8389,5189500.0,0.0,1.0
2020-08-19,85.14,85.6,83.52,83.88,20.3939,2457700.0,0.0,1.0
2020-08-20,81.4,83.53,81.35,83.14,20.214,3610200.0,0.0,1.0
2020-08-21,82.8,83.0,81.1,82.63,20.09,2108100.0,0.0,1.0
2020-08-24,83.65,84.1,82.42,83.39,20.2748,2249500.0,0.0,1.0
2020-08-25,83.0,84.3,80.68,81.1,19.718,3733400.0,0.0,1.0
2020-08-26,81.15,82.96,78.13,80.65,19.6086,3628500.0,0.0,1.0
2020-08-27,81.0,82.8,79.81,82.78,20.1265,2907900.0,0.0,1.0
2020-08-28,82.8,83.46,81.92,82.8,20.1314,1767500.0,0.0,1.0
2020-08-31,82.1,82.5,80.33,80.33,19.5308,3473600.0,0.0,1.0
2020-09-01,80.11,83.86,80.11,83.86,20.3891,4767700.0,0.0,1.0
2020-09-02,84.0,84.64,81.65,83.1,20.2043,2579100.0,0.0,1.0
2020-09-03,83.25,84.41,80.22,81.47,19.808,6238300.0,0.0,1.0
2020-09-04,81.93,82.85,77.57,79.5,19.329,6398000.0,0.0,1.0
2020-09-08,78.15,79.13,77.19,78.03,18.9716,3529000.0,0.0,1.0
2020-09-09,79.0,81.89,78.75,81.51,19.8177,3612600.0,0.0,1.0
2020-09-10,81.21,81.7,78.95,79.13,19.2391,2301000.0,0.0,1.0
2020-09-11,79.5,80.03,77.52,78.11,18.9911,2522500.0,0.0,1.0
2020-09-14,79.24,81.82,79.21,81.48,19.8104,3421100.0,0.0,1.0
2020-09-15,82.38,82.66,79.44,79.89,19.4238,3382200.0,0.0,1.0
2020-09-16,79.89,81.48,79.27,80.0,19.4506,3016400.0,0.0,1.0
2020-09-17,79.15,80.17,78.68,79.72,19.3825,1820500.0,0.0,1.0
2020-09-18,79.0,79.75,75.76,75.76,18.4197,5465900.0,0.0,1.0
2020-09-21,74.0,74.8,72.02,72.6,17.6514,6050100.0,0.0,1.0
2020-09-22,73.0,74.9,70.79,73.2,17.7973,5114800.0,0.0,1.0
2020-09-23,73.51,74.88,72.56,73.13,17.7803,3913800.0,0.0,1.0
2020-09-24,73.44,74.79,72.63,74.07,18.0088,3917900.0,0.0,1.0
2020-09-25,73.7,74.3,72.5,74.3,18.0647,2040800.0,0.0,1.0
2020-09-28,75.2,76.99,72.23,72.3,17.5785,5027900.0,0.0,1.0
2020-09-29,72.3,73.3,70.7,71.1,17.2867,3211900.0,0.0,1.0
2020-09-30,71.54,73.25,71.54,72.85,17.7122,2900300.0,0.0,1.0
2020-10-01,72.51,74.57,71.9,74.51,18.1158,2271200.0,0.0,1.0
2020-10-02,73.9,75.48,71.62,72.08,17.525,2935500.0,0.0,1.0
2020-10-05,72.39,74.69,72.2,74.14,18.0258,1946300.0,0.0,1.0
2020-10-06,74.67,75.31,73.07,73.92,17.9723,2950900.0,0.0,1.0
2020-10-07,73.98,74.59,72.01,72.67,17.6684,2776600.0,0.0,1.0
2020-10-08,72.99,73.9,71.74,73.5,17.8702,4044400.0,0.0,1.0
2020-10-09,73.16,74.93,72.5,72.95,17.7365,1848600.0,0.0,1.0
2020-10-13,73.5,73.65,71.51,71.75,17.4447,2644700.0,0.0,1.0
2020-10-14,71.98,75.2,71.76,74.61,18.1401,3929500.0,0.0,1.0
2020-10-15,73.63,74.23,72.46,74.04,18.0015,2252500.0,0.0,1.0
2020-10-16,73.51,73.86,72.06,72.34,17.5882,2146200.0,0.0,1.0
2020-10-19,72.65,77.18,72.5,75.04,18.2446,3416700.0,0.0,1.0
2020-10-20,75.8,79.23,75.75,79.19,19.2536,4433300.0,0.0,1.0
2020-10-21,79.3,81.27,77.87,81.21,19.7448,3871100.0,0.0,1.0
2020-10-22,81.1,81.68,79.92,80.42,19.5527,3483700.0,0.0,1.0
2020-10-23,80.49,81.49,79.15,79.6,19.3533,3339700.0,0.0,1.0
2020-10-26,80.5,80.58,76.93,78.88,19.1783,3441700.0,0.0,1.0
2020-10-27,80.0,80.04,77.02,77.52,18.8476,3277500.0,0.0,1.0
2020-10-28,75.42,75.64,72.0,72.0,17.5055,4256400.0,0.0,1.0
2020-10-29,72.0,75.8,69.27,74.85,18.1984,6982200.0,0.0,1.0
2020-10-30,74.0,74.0,71.05,72.5,17.6271,4310700.0,0.0,1.0
2020-11-03,73.99,74.24,71.17,71.97,17.4982,2959500.0,0.0,1.0
2020-11-04,73.0,76.45,72.45,76.14,18.5121,3288800.0,0.0,1.0
2020-11-05,76.74,79.81,76.74,78.12,18.9935,4487300.0,0.0,1.0
2020-11-06,76.91,80.6,76.58,80.15,19.4871,3179800.0,0.0,1.0
2020-11-09,82.5,83.59,78.01,78.5,19.0859,5553000.0,0.0,1.0
2020-11-10,78.49,78.89,75.21,75.95,18.4659,6458000.0,0.0,1.0
2020-11-11,75.95,80.37,75.82,79.99,19.4481,6751300.0,0.0,1.0
2020-11-12,79.64,81.24,78.43,79.71,19.3801,5569200.0,0.0,1.0
2020-11-13,80.99,81.31,78.76,80.7,19.6208,3296500.0,0.0,1.0
2020-11-16,81.87,82.85,80.46,80.89,19.667,3280500.0,0.0,1.0
2020-11-17,80.9,83.5,80.85,83.18,20.2237,4344800.0,0.0,1.0
2020-11-18,83.36,83.9,80.92,82.3,20.0098,2879500.0,0.0,1.0
2020-11-19,82.3,83.26,81.3,82.36,20.0244,2151200.0,0.0,1.0
2020-11-20,82.36,82.81,80.76,81.01,19.6961,1425100.0,0.0,1.0
2020-11-23,81.41,81.87,78.87,79.4,19.3047,2796200.0,0.0,1.0
2020-11-24,79.61,80.4,78.57,79.41,19.3071,2566900.0,0.0,1.0
2020-11-25,79.42,81.34,78.93,81.04,19.7034,3072300.0,0.0,1.0
2020-11-26,80.78,81.45,79.35,81.45,19.8031,1264800.0,0.0,1.0
2020-11-27,81.46,82.48,80.44,81.01,19.6961,1680100.0,0.0,1.0
2020-11-30,80.5,80.59,78.23,79.22,19.2609,4956300.0,0.0,1.0
2020-12-01,79.79,82.73,78.32,80.51,19.5746,4604800.0,0.0,1.0
2020-12-02,80.95,82.48,78.23,79.9,19.4263,4271800.0,0.0,1.0
2020-12-03,80.48,86.6,79.63,83.55,20.3137,7563900.0,0.0,1.0
2020-12-04,84.4,84.85,81.77,82.75,20.1192,2565100.0,0.0,1.0
2020-12-07,82.91,83.47,80.7,82.0,19.9368,2012000.0,0.0,1.0
2020-12-08,81.5,83.96,81.01,82.54,20.0681,1704700.0,0.0,1.0
2020-12-09,82.43,82.85,78.8,79.44,19.3144,3751600.0,0.0,1.0
2020-12-10,79.65,81.17,78.03,80.34,19.5332,3179800.0,0.0,1.0
2020-12-11,79.29,82.44,79.2,81.6,19.8396,3032300.0,0.0,1.0
2020-12-14,81.39,86.08,81.16,86.08,20.9288,3682700.0,0.0,1.0
2020-12-15,86.88,89.1,86.3,88.35,21.4807,4567800.0,0.0,1.0
2020-12-16,88.5,92.24,87.84,90.8,22.0764,4974900.0,0.0,1.0
2020-12-17,90.82,92.94,90.79,91.57,22.2636,3384800.0,0.0,1.0
2020-12-18,91.57,91.9,89.25,90.07,21.8989,2921900.0,0.0,1.0
2020-12-21,87.59,91.64,86.52,90.71,22.0545,2492500.0,0.0,1.0
2020-12-22,91.5,93.6,91.03,93.6,22.7572,2297700.0,0.0,1.0
2020-12-23,93.75,94.98,92.64,92.79,22.5602,1599300.0,0.0,1.0
2020-12-28,92.81,95.8,92.76,95.51,23.2216,2620100.0,0.0,1.0
2020-12-29,95.5,96.06,94.0,95.47,23.2118,2222800.0,0.0,1.0
2020-12-30,95.5,96.3,93.4,94.0,22.8544,2437500.0,0.0,1.0
2021-01-04,95.0,95.5,91.65,91.91,22.3463,2276700.0,0.0,1.0
2021-01-05,91.0,92.4,89.01,90.66,22.0424,3071200.0,0.0,1.0
2021-01-06,90.89,91.37,87.18,87.52,21.88,4288800.0,0.6226,1.0
2021-01-07,87.1,90.64,86.75,90.45,22.6125,3530100.0,0.0,1.0
2021-01-08,90.99,93.0,90.78,92.31,23.0775,2654000.0,0.0,1.0
2021-01-11,90.66,92.35,87.74,88.82,22.205,2742000.0,0.0,1.0
2021-01-12,89.42,92.52,88.35,92.38,23.095,2734400.0,0.0,1.0
2021-01-13,92.41,93.94,90.34,91.26,22.815,2835600.0,0.0,1.0
2021-01-14,92.03,93.07,90.63,91.52,22.88,2309900.0,0.0,1.0
2021-01-15,90.39,91.15,88.62,88.75,22.1875,2211600.0,0.0,1.0
2021-01-18,89.37,94.5,89.37,92.27,23.0675,3704300.0,0.0,1.0
2021-01-19,93.01,97.37,92.8,95.15,23.7875,4747500.0,0.0,1.0
2021-01-20,96.0,96.2,92.86,93.9,23.475,2478400.0,0.0,1.0
2021-01-21,94.0,95.27,92.26,92.82,23.205,2939400.0,0.0,1.0
2021-01-22,92.1,94.6,91.53,92.88,23.22,5316400.0,0.0,1.0
2021-01-26,92.09,94.46,91.27,91.5,22.875,2822500.0,0.0,1.0
2021-01-27,91.0,92.2,89.52,90.1,22.525,3898000.0,0.0,1.0
2021-01-28,90.3,98.78,90.3,98.03,24.5075,4683000.0,0.0,1.0
2021-01-29,96.07,99.53,93.5,95.05,23.7625,5239600.0,0.0,1.0
2021-02-01,97.79,100.24,95.25,98.47,24.6175,3914500.0,0.0,1.0
2021-02-02,100.53,100.85,97.4,98.83,24.7075,3737800.0,0.0,1.0
2021-02-03,99.43,106.83,99.43,106.47,26.6175,6539000.0,0.0,1.0
2021-02-04,106.47,109.6,105.36,109.46,27.365,5513100.0,0.0,1.0
2021-02-05,110.01,115.16,108.1,110.0,27.5,7684600.0,0.0,1.0
2021-02-08,110.42,115.85,109.87,114.15,28.5375,4589300.0,0.0,1.0
2021-02-09,114.15,114.85,109.5,113.72,28.43,5201100.0,0.0,1.0
2021-02-10,114.0,115.15,108.0,108.75,27.1875,6718200.0,0.0,1.0
2021-02-11,109.95,112.4,109.51,111.6,27.9,3536000.0,0.0,1.0
2021-02-12,110.97,110.97,108.19,109.0,27.25,3326100.0,0.0,1.0
2021-02-17,108.04,109.86,105.9,109.32,27.33,2786900.0,0.0,1.0
2021-02-18,108.99,108.99,105.5,106.2,26.55,4250100.0,0.0,1.0
2021-02-19,106.3,107.92,105.14,106.9,26.725,2416100.0,0.0,1.0
2021-02-22,104.5,104.5,100.8,103.9,25.975,5237700.0,0.0,1.0
2021-02-23,105.15,106.99,103.45,104.92,26.23,3110000.0,0.0,1.0
2021-02-24,105.9,107.65,104.31,105.69,26.4225,3774600.0,0.0,1.0
2021-02-25,105.74,108.75,99.24,102.24,25.56,3779900.0,0.0,1.0
2021-02-26,102.9,105.78,100.16,101.64,25.41,6904400.0,0.0,1.0
2021-03-01,103.0,104.61,101.07,101.47,25.3675,3467500.0,0.0,1.0
2021-03-02,101.0,103.94,97.11,102.69,25.6725,6413500.0,0.0,1.0
2021-03-03,102.6,102.79,96.35,102.33,25.5825,6599300.0,0.0,1.0
2021-03-04,102.38,104.68,97.9,98.84,24.71,6079800.0,0.0,1.0
2021-03-05,99.01,99.47,93.83,96.85,24.2125,6369200.0,0.0,1.0
2021-03-08,94.94,95.5,88.5,89.65,22.4125,8014400.0,0.0,1.0
2021-03-09,90.79,91.32,87.31,87.78,21.945,9845500.0,0.0,1.0
2021-03-10,88.93,91.5,86.6,91.0,22.75,7867300.0,0.0,1.0
2021-03-11,92.3,94.25,90.03,93.9,23.475,5790300.0,0.0,1.0
2021-03-12,92.63,94.56,91.9,94.56,23.64,3296600.0,0.0,1.0
2021-03-15,94.57,96.0,92.75,93.2,23.3,3939800.0,0.0,1.0
2021-03-16,93.38,93.68,91.01,91.33,22.8325,2547500.0,0.0,1.0
2021-03-17,91.16,94.87,90.75,94.17,23.5425,3422000.0,0.0,1.0
2021-03-18,93.51,94.28,90.85,91.45,22.8625,2937500.0,0.0,1.0
2021-03-19,92.2,93.92,90.94,93.57,23.3925,5784500.0,0.0,1.0
2021-03-22,94.0,95.46,92.64,94.17,23.5425,1978700.0,0.0,1.0
2021-03-23,93.97,97.16,93.26,95.1,23.775,4992300.0,0.0,1.0
2021-03-24,95.6,95.64,91.74,91.8,22.95,3331000.0,0.0,1.0
2021-03-25,91.61,93.46,89.58,92.65,23.1625,3047500.0,0.0,1.0
2021-03-26,92.65,93.88,90.8,91.97,22.9925,2485900.0,0.0,1.0
2021-03-29,90.85,92.27,90.56,92.06,23.015,2166700.0,0.0,1.0
2021-03-30,91.81,98.02,91.21,97.42,24.355,4179300.0,0.0,1.0
2021-03-31,97.4,97.41,95.0,97.05,24.2625,4015600.0,0.0,1.0
2021-04-01,97.24,97.83,93.52,94.55,23.6375,3456300.0,0.0,1.0
2021-04-05,96.12,98.87,95.53,98.45,24.6125,3289300.0,0.0,1.0
2021-04-06,99.76,102.18,97.8,98.62,24.655,5079300.0,0.0,1.0
2021-04-07,98.37,100.28,97.58,98.8,24.7,2705700.0,0.0,1.0
2021-04-08,99.2,100.05,97.8,99.72,24.93,3708600.0,0.0,1.0
2021-04-09,99.03,99.71,98.08,98.55,24.6375,2457500.0,0.0,1.0
2021-04-12,98.98,99.78,98.69,99.25,24.8125,2041600.0,0.0,1.0
2021-04-13,99.03,99.51,98.0,98.6,24.65,2669700.0,0.0,1.0
2021-04-14,98.83,101.23,98.3,99.5,24.875,3351500.0,0.0,1.0
2021-04-15,99.65,100.28,98.15,99.23,24.8075,2025300.0,0.0,1.0
2021-04-16,99.77,102.4,97.84,101.14,25.285,3090100.0,0.0,1.0
2021-04-19,100.92,102.89,99.3,99.75,24.9375,3090300.0,0.0,1.0
2021-04-20,99.84,100.33,97.91,98.5,24.625,2156100.0,0.0,1.0
2021-04-22,98.87,100.12,96.99,97.59,24.3975,2883100.0,0.0,1.0
2021-04-23,97.9,101.21,97.52,99.6,24.9,3313200.0,0.0,1.0
2021-04-26,100.03,102.87,100.0,101.84,25.46,3377000.0,0.0,1.0
